post_shortcode,commenter_username,comment_text,comment_likes
C05vOKaLwvm,<Profile the_brand_rgarg (41328238519)>,:fire::fire::fire::fire:,2
C05vOKaLwvm,<Profile ankush_saini_uk18 (62370811566)>,:crown::crown::crown:King kohli :crown::crown::crown:,2
C05vOKaLwvm,<Profile _harsh_tyagi01 (48169311752)>,Match day :fire::raising_hands::red_heart: at centurion,7
C05vOKaLwvm,<Profile dance27272 (63952330735)>,Wow. What a beauty v k. Its Very Beautiful pose,9
C05vOKaLwvm,<Profile _ft_fidha_7 (64088075670)>,:red_heart::red_heart::fire::fire:,8
C05vOKaLwvm,<Profile chandan_gope_07 (50249489724)>,:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:,5
C05vOKaLwvm,<Profile the_brand_rgarg (41328238519)>,:red_heart:,1
C05vOKaLwvm,<Profile sk_jabrul (53885456195)>,So cute,8
C05vOKaLwvm,<Profile mr________satyam__307 (54912356167)>,my hero :smiling_face_with_heart-eyes::red_heart:,1
C05vOKaLwvm,<Profile aiaraofbrazil (52609573812)>,Let's go:fire:,5
C05vOKaLwvm,<Profile mr.sam_001 (6132069305)>,Sir pls help,7
C05vOKaLwvm,<Profile akashh_099_ (54357765534)>,Wow all time blockboster :fire::fire:,8
C05vOKaLwvm,<Profile official_prachiiiiii (55073707375)>,Kohli fan's :backhand_index_pointing_right_light_skin_tone::backhand_index_pointing_right_medium-light_skin_tone:,374
C05vOKaLwvm,<Profile only__ahad (44249333216)>,Forgive me plss am on my kness,2
C05vOKaLwvm,<Profile abhinav_jalan (44655133627)>,Bus me seat reserve karta hua mera dost,6
C05vOKaLwvm,<Profile royal__king_825 (51612800639)>,Virat Kohli respect button :check_mark_button:,3
C05vOKaLwvm,<Profile of__the__king___ (41174952765)>,:fire::fire:,2
C05vOKaLwvm,<Profile of__the__king___ (41174952765)>,:red_heart::red_heart::red_heart:,2
C05vOKaLwvm,<Profile sunil_kumawat_18 (48185577588)>,King kohli :red_heart::red_heart::red_heart::red_heart:in super hero :red_heart::red_heart:,8
C05vOKaLwvm,<Profile deepaksonkar1744 (48172542871)>,RCB....:fire:,2
C05vOKaLwvm,<Profile creamy_moon77 (58805202793)>,King kholi :crown::sparkling_heart:,24
C05vOKaLwvm,<Profile ir.kagg (39249285266)>,All time greatest king kohli,3132
C05vOKaLwvm,<Profile abhishekchaudhary6259 (44986820281)>,success in life comes when you simply refuse to give up like king kohli,3
C05vOKaLwvm,<Profile dehati_darinda (59617175381)>,,3
C05vOKaLwvm,<Profile soonnuuuu (8485982059)>,Paneer Button,130
C05vOKaLwvm,<Profile ankush_saini_uk18 (62370811566)>,,1
C05vOKaLwvm,<Profile sattrav (48097632856)>,Thank You VK for Your Loyalty :heart_suit::relieved_face:,1109
C05vOKaLwvm,<Profile adityarajsinghrathoree (37538112163)>,Virat kholi kai 300m krna hai sab story lago,11
C05vOKaLwvm,<Profile sawansingh289 (2536120208)>,There is only one King in cricket :fire: :fire:,130
C05vOKaLwvm,<Profile ajkhan_786_ (30249294798)>,RCB Fan Attendance Board :red_heart:,889
C05vOKaLwvm,<Profile deepaksonkar1744 (48172542871)>,King kohali k samane koi bol skta hai kya .. Kohli bhai.. King :crown::sparkling_heart:,3
C05vOKaLwvm,<Profile tanamay496 (48481579503)>,Hitman respect button :-,508
C05vOKaLwvm,<Profile imran_hingora37 (7023696654)>,King Stand on Chess board :moai:,674
C05vOKaLwvm,<Profile haram_khor_ (1447004201)>,Hero :smiling_face_with_heart-eyes:,770
C05vOKaLwvm,<Profile hadia_malikg (57124301845)>,Very nice Kohli :red_heart: I am from Pakistan :Pakistan:but I am your big fan:smiling_face_with_heart-eyes:,10
C05vOKaLwvm,<Profile ____axyann (57527908424)>,,2
C05vOKaLwvm,<Profile nhlchrs (2432424298)>,King Kohli not only ultimate Cricketer but a handsome model:fire:,2699
C05vOKaLwvm,<Profile gaurav.rabiya18 (56770519957)>,Mumbai Indians doesn't deserves rohit sharma. RCB please purse him:crying_face::pensive_face:,3022
C05vOKaLwvm,<Profile ajharkhan64321 (59176368546)>,Asalamu alaikum Mohammad virat Bhai Mohammad sami or Mohammad ki bhot jarurat hai bhomrah bhi chalega sarkari ke tournament me bhot jarurat hai,7
C05vOKaLwvm,<Profile shariq0297 (58422440742)>,Virat kohli bhaii app ko ajju Bhai sa compare kar rahe hai liken aun ko mat pata haii ki king kon haii likin app ko udar bi king Manta hai,1
C05vOKaLwvm,<Profile mokkaengineer_ (3567570781)>,Loyalty Man :red_heart:,416
