post_shortcode,commenter_username,comment_text,comment_likes
C1qiO9zsPrs,<Profile hayacci_0129 (59895650613)>,"president trump:United_States:
If I make my debut as a rapper, please come visit me in Japan.
I will report again.
Please come see the live show
HAYACCI2024:Japan:",0
C1qiO9zsPrs,<Profile cruzs11 (1164297728)>,#trumpToPrison,18
C1qiO9zsPrs,<Profile chuy_gonzalezzzz (4438005018)>,:pile_of_poo::pile_of_poo::pile_of_poo::pile_of_poo::pile_of_poo::pile_of_poo::pile_of_poo::pile_of_poo:<===trumps diaper,13
C1qiO9zsPrs,<Profile bthom100 (213236088)>,I heard he is getting there on Epstien's plane.,491
C1qiO9zsPrs,<Profile ali_2025_11 (44776564783)>,#restartleader,0
C1qiO9zsPrs,<Profile chuy_gonzalezzzz (4438005018)>,CHANGE YOUR DIAPER YOU :tangerine::pile_of_poo: STAIN,4
C1qiO9zsPrs,<Profile nolanmuller77 (45092269452)>,the age of consent is 18,5
C1qiO9zsPrs,<Profile mojtaba.mirmohammadi (56812506738)>,Make America Great Again By President TRUMP's Leadership:red_heart:.RESTART:red_heart:.U.S.A:red_heart:.,2
C1qiO9zsPrs,<Profile lnoeltato (2458671023)>,Good luck :hundred_points::crown::check_mark:,2
C1qiO9zsPrs,<Profile ryguy5846 (357324451)>,You went from filling stadiums to headlining wedding venues,2
C1qiO9zsPrs,<Profile durdent38 (13499866244)>,,248
C1qiO9zsPrs,<Profile stassi_summer (49589245460)>,JAIL!!! Stop lying to these people Donnie,81
C1qiO9zsPrs,<Profile jesus_n_art (54463725092)>,Don tha Con. Gonna be disqualified :U.S._Outlying_Islands:,24
C1qiO9zsPrs,<Profile trapfortrump (54070933032)>,"Bruh.. Donald my nigga Fa LYFE :hundred_points:
#NiggasForTrump :United_States::raised_fist_dark_skin_tone:",14
C1qiO9zsPrs,<Profile williambstorms (11379522652)>,91.  Felony Charges. 91.,97
C1qiO9zsPrs,<Profile marciotperk (304850822)>,,14
C1qiO9zsPrs,<Profile miller_sobe (57335991092)>,,63
C1qiO9zsPrs,<Profile barnesluly (4730033099)>,TRUMP 2024,17
C1qiO9zsPrs,<Profile ivan.dj712 (2305265278)>,"W Trump, wasn't on Epstein list. :goat:",306
C1qiO9zsPrs,<Profile 1967william.dufour (2605901565)>,Trump 24 :United_States::thumbs_up:,23
C1qiO9zsPrs,<Profile roberthoncoop (476656842)>,Yet another ‘rally’ to take your hard earned money to pay his legal expenses!,37
C1qiO9zsPrs,<Profile badbitchesvibezs2024 (60113925857)>,TRUMP 2024 PERIOD,7
C1qiO9zsPrs,<Profile dominguezdiegoemanuel (5866589854)>,The next president of USA Greetings from Argentina :blue_heart: :Argentina:,36
C1qiO9zsPrs,<Profile 757_chris_2001 (62338609043)>,,10
C1qiO9zsPrs,<Profile juntosxlalibertad_ (44581170853)>,"If you are interested in learning more about the measures of Javier Milei's government, visit my profile.:handshake_light_skin_tone::Argentina:",11
C1qiO9zsPrs,<Profile chuy_gonzalezzzz (4438005018)>,COMMMIT TO CACA RALLY :middle_finger_dark_skin_tone::middle_finger_dark_skin_tone::middle_finger_dark_skin_tone::middle_finger_dark_skin_tone::middle_finger_dark_skin_tone: THE ORANGE :pile_of_poo:STAIN #diaperdonnie #trumpsmellsbad,5
C1qiO9zsPrs,<Profile marysuvorova_m (57282715500)>,Trump 2024:U.S._Outlying_Islands::building_construction:,41
C1qiO9zsPrs,<Profile faithfulyes (58568527713)>,Best President ever ! God go before you ! Favor and protection and God will pay you back everything the enemy stole . In Jesus name Amen :folded_hands: :latin_cross::dizzy::heart_hands:,13
C1qiO9zsPrs,<Profile jpumpkin1776 (8264872370)>,#Trump #2024 - #Save #America:folded_hands_light_skin_tone::heart_suit::United_States:,47
C1qiO9zsPrs,<Profile puresided (58016640637)>,Best president ever #Trump2024 #MAGA,51
C1qiO9zsPrs,<Profile goo_v99 (4372107990)>,Epstiens best friend.  What a surprise the imbecile who shits his diapers raped underage women,22
C1qiO9zsPrs,<Profile dickbee_5150 (13688518680)>,,100
C1qiO9zsPrs,<Profile presidentofthebasement13 (59214167633)>,Trump is on Epsteins Associate List,188
C1qiO9zsPrs,<Profile miles_bowley (1715367243)>,This is my president:fire::fire:,141
C1qiO9zsPrs,<Profile adrianakuzmina83 (6906863600)>,The peoples President 2024!,50
C1qiO9zsPrs,<Profile delazaralex (4051287594)>,"We support Mr President Donald Trump from Argentina !! The same way we support President Javier Milei and Jair Bolsonaro !!! They will surprise us in 2026 !!! With a unique agreement for Americas !!! MAKE AMERICAS GREST AGAIN , One for all , all for one !!! FREE AMERICAS  OF COMUNISTAS !!!! :Argentina: :United_States: :Brazil:",15
C1qiO9zsPrs,<Profile bigalsixers566 (2937521226)>,"#LOCKHIMUP 
#SCUMtrump #RepublicansAreSCUM 
#CONSERVATERDS :pile_of_poo:
#magaFilthSCUM 
#PEDOtrump :face_screaming_in_fear:
#RacistFortrump 
#BIDENHARRIS2024:U.S._Outlying_Islands::water_wave:",4
C1qiO9zsPrs,<Profile hiiamigor (51492844644)>,Make America Great Again :United_States::latin_cross::eagle:,89
C1qiO9zsPrs,<Profile leonilawheeler19 (53149048888)>,:red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:,6
C1qiO9zsPrs,<Profile miasocal (31614903163)>,EVERYONE #VoteTrump2024 to save America!!,26
C1qiO9zsPrs,<Profile brandonrunsfast (59133315212)>,Trump needs to be disqualified from running for President in every state! Trump needs to be in jail!,51
C1qiO9zsPrs,<Profile aintno_love_official (7179694150)>,,6
C1qiO9zsPrs,<Profile rudygonzalez73 (9795069991)>,,5
C1qiO9zsPrs,<Profile markfwestcovina (1496605916)>,"Trump has a lot going against him him. He needs to be in the Big House,not the White House",36
C1qiO9zsPrs,<Profile panchohelguera (493789749)>,VIVA LA LIBERTAD CARAJO :flexed_biceps: :clapping_hands: :blue_heart: :Argentina::Argentina::Argentina:,48
C1qiO9zsPrs,<Profile jamesmiltonsmith (14977362)>,Morons. Traitors.  MAGAts.  All apply.,4
C1qiO9zsPrs,<Profile mikems23 (2164840152)>,Vote Trump save America :United_States:,1
C1qiO9zsPrs,<Profile chartan_david_ (8210938788)>,PRESIDENT 2024 @realdonaldtrump,2
C1qiO9zsPrs,<Profile palmacubanos (3860469663)>,:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:I love you too much @realdonaldtrump :clapping_hands::clapping_hands::clapping_hands:,4
C1qiO9zsPrs,<Profile moslicestelle (43803078488)>,@realdonaldtrump your name was on the Epstein list… I’m so sad :crying_face: was really hoping it wouldn’t be but now I can’t support you. I think that if you were to come clean and seek God that would really help your case,54
